epoch,train_loss,train_acc,val_loss,val_acc,alpha,epoch_time_s,peak_gpu_gib
131,0.130415,0.964577,0.190974,0.942029,5.868706,142.730,11.249
132,0.123471,0.967147,0.171966,0.947368,5.876400,142.632,11.249
133,0.119278,0.967514,0.189298,0.941838,5.883856,142.528,11.249
134,0.115327,0.968432,0.169786,0.952326,5.889974,142.479,11.249
135,0.121938,0.967606,0.172423,0.945843,5.897772,142.648,11.249
136,0.117349,0.969349,0.179569,0.944889,5.904409,142.690,11.249
137,0.113214,0.971001,0.160339,0.951945,5.910733,142.332,11.249
138,0.110738,0.971276,0.172626,0.946224,5.918711,142.409,11.249
139,0.109879,0.972653,0.171786,0.943745,5.924143,142.506,11.249
140,0.115645,0.970542,0.172135,0.948894,5.927205,142.550,11.249
141,0.107136,0.970818,0.163395,0.949847,5.933237,142.597,11.249
142,0.104927,0.972745,0.167127,0.948703,5.935865,142.443,11.249
143,0.107571,0.972561,0.184791,0.943364,5.940760,142.609,11.249
144,0.100789,0.973387,0.177039,0.947750,5.946339,142.496,11.249
145,0.103008,0.972653,0.166393,0.950420,5.952659,142.529,11.249
146,0.106374,0.971552,0.170613,0.947941,5.957197,142.571,11.249
147,0.098390,0.976140,0.165387,0.951182,5.960546,142.514,11.249
148,0.095639,0.976507,0.153225,0.955950,5.966433,142.569,11.249
149,0.096031,0.976691,0.160762,0.951182,5.967500,142.598,11.249
150,0.098156,0.974213,0.151778,0.953852,5.971730,142.511,11.249
151,0.097771,0.973387,0.160400,0.953471,5.974128,142.470,11.249
152,0.096329,0.977058,0.149131,0.955378,5.977172,142.655,11.249
153,0.087675,0.979536,0.153540,0.955378,5.981041,142.655,11.249
154,0.094886,0.975131,0.159786,0.952517,5.984753,142.587,11.249
155,0.098712,0.974672,0.145931,0.957475,5.988368,142.451,11.249
156,0.089719,0.977884,0.150342,0.954615,5.991292,142.651,11.249
157,0.092345,0.976232,0.151546,0.953661,5.991081,142.617,11.249
158,0.089132,0.978067,0.159330,0.948703,5.994700,142.446,11.249
159,0.087780,0.975314,0.148785,0.955759,5.997751,142.610,11.249
160,0.083572,0.979903,0.153148,0.955187,5.998732,142.479,11.249
161,0.084928,0.979077,0.144655,0.955378,6.001806,142.692,11.249
162,0.088561,0.975773,0.150507,0.953280,6.003251,142.597,11.249
163,0.086062,0.979536,0.147438,0.956522,6.005549,142.460,11.249
164,0.085352,0.979352,0.152514,0.952326,6.008062,142.424,11.249
165,0.083409,0.979994,0.148961,0.955378,6.009515,142.625,11.249
166,0.079347,0.981738,0.147885,0.954996,6.010101,142.461,11.249
167,0.083072,0.978618,0.144224,0.957475,6.011800,142.645,11.249
