section,feature_or_bin,target_or_metric,value,ci_lo,ci_hi,n,note
perword_ridge_no_Abase,viseme_labiovelar_w,rescue,0.016227,,,,
perword_ridge_no_Abase,viseme_lingual,rescue,0.001177,,,,
perword_ridge_no_Abase,viseme_other,rescue,0.096221,,,,
perword_ridge_no_Abase,viseme_vowel_initial,rescue,-0.119899,,,,
perword_ridge_with_Abase,A_baseline,rescue,-0.681227,,,,rep=-0.681227
perword_ridge_with_Abase,word_len,rescue,0.259026,,,,rep=0.259026
perword_ridge_with_Abase,n_vowels,rescue,-0.188682,,,,
perword_ridge_with_Abase,vowel_initial,rescue,0.207722,,,,
perword_ridge_with_Abase,viseme_bilabial_bpm,rescue,0.087280,,,,
perword_ridge_with_Abase,viseme_glottal_h,rescue,0.038972,,,,
perword_ridge_with_Abase,viseme_labiodental_fv,rescue,-0.007812,,,,
perword_ridge_with_Abase,viseme_labiovelar_w,rescue,0.042131,,,,
perword_ridge_with_Abase,viseme_lingual,rescue,-0.040612,,,,
perword_ridge_with_Abase,viseme_other,rescue,0.085447,,,,
perword_ridge_with_Abase,viseme_vowel_initial,rescue,-0.130522,,,,
bin_ci_onset,/b/,delta_AV_minus_A,0.043478,-0.008696,0.095652,115,A=0.9217 AV=0.9652 excl0=no
bin_ci_onset,/d/,delta_AV_minus_A,0.021661,-0.007220,0.054152,277,A=0.9350 AV=0.9567 excl0=no
bin_ci_onset,/f/,delta_AV_minus_A,0.030928,0.008247,0.053608,485,A=0.9320 AV=0.9629 excl0=yes
bin_ci_onset,/h/,delta_AV_minus_A,0.024845,-0.006211,0.062112,161,A=0.9565 AV=0.9814 excl0=no
bin_ci_onset,/k/,delta_AV_minus_A,0.008152,-0.013587,0.032609,368,A=0.9565 AV=0.9647 excl0=no
bin_ci_onset,/m/,delta_AV_minus_A,0.016722,-0.003344,0.040134,299,A=0.9632 AV=0.9799 excl0=no
bin_ci_onset,/n/,delta_AV_minus_A,0.018634,-0.043478,0.080745,161,A=0.8323 AV=0.8509 excl0=no
bin_ci_onset,/p/,delta_AV_minus_A,0.038567,0.011019,0.068871,363,A=0.9311 AV=0.9697 excl0=yes
bin_ci_onset,/r/,delta_AV_minus_A,0.049689,0.018634,0.086957,161,A=0.9317 AV=0.9814 excl0=yes
bin_ci_onset,/s/,delta_AV_minus_A,0.029412,0.012605,0.046218,714,A=0.9286 AV=0.9580 excl0=yes
bin_ci_onset,/t/,delta_AV_minus_A,0.030905,0.012141,0.050773,906,A=0.9007 AV=0.9316 excl0=yes
bin_ci_onset,/w/,delta_AV_minus_A,0.043243,0.010811,0.075676,185,A=0.9459 AV=0.9892 excl0=yes
bin_ci_onset,other,delta_AV_minus_A,0.044586,0.015924,0.076433,314,A=0.9204 AV=0.9650 excl0=yes
bin_ci_onset,vowel,delta_AV_minus_A,0.029932,0.010884,0.048980,735,A=0.9320 AV=0.9619 excl0=yes
