epoch,train_loss,train_acc,val_loss,val_acc,val_acc_audio_head,val_acc_video_head,w_a_mean,wa_anoisy_mean,wa_anoisy_std,wa_clean_mean,wa_clean_std,wa_vnoisy_mean,wa_vnoisy_std,epoch_time_s,peak_gpu_gib
55,2.067545,0.821969,0.791867,0.780702,0.483982,0.633677,0.475156,0.401056,0.173474,0.455043,0.234099,0.411271,0.195801,175.858,12.454
56,2.045576,0.823896,0.481092,0.871854,0.405034,0.751335,0.421830,0.438249,0.098232,0.428150,0.106952,0.443573,0.108269,166.890,12.454
57,1.984964,0.828760,0.421731,0.881960,0.551297,0.744088,0.407851,0.411723,0.095811,0.410099,0.095756,0.428822,0.105655,166.934,12.454
58,1.966207,0.831972,0.476835,0.863272,0.607933,0.662853,0.420297,0.400190,0.115352,0.420175,0.104096,0.432526,0.100890,170.324,12.454
59,1.914967,0.838396,0.475534,0.857933,0.555492,0.701564,0.409183,0.375787,0.117195,0.419836,0.121450,0.423717,0.119062,173.655,12.454
60,1.872072,0.844911,0.428265,0.880053,0.623188,0.702136,0.402725,0.417772,0.099398,0.419599,0.100329,0.418105,0.100699,164.187,12.454
61,1.842528,0.849592,0.428130,0.876240,0.578566,0.723303,0.423408,0.425959,0.100643,0.433328,0.109466,0.480311,0.142458,169.813,12.454
62,1.839068,0.843718,0.478385,0.866514,0.524409,0.714340,0.397319,0.369213,0.087517,0.378607,0.091704,0.397476,0.102260,172.001,12.454
63,1.819863,0.847848,0.336425,0.911899,0.662471,0.745233,0.433435,0.406749,0.091916,0.432300,0.081155,0.455924,0.088208,165.262,12.454
64,1.770416,0.854180,0.488231,0.850877,0.540046,0.645309,0.426791,0.470244,0.101707,0.436053,0.105892,0.441007,0.108125,160.629,12.454
65,1.742069,0.858401,0.371943,0.894737,0.667239,0.722731,0.421672,0.388141,0.104096,0.425188,0.097211,0.444498,0.101896,168.421,12.454
66,1.720418,0.861246,0.364934,0.901411,0.666285,0.748665,0.418851,0.392615,0.108853,0.419214,0.103021,0.453573,0.110063,164.333,12.454
67,1.699336,0.860329,0.399465,0.887681,0.501907,0.771930,0.422002,0.419574,0.086442,0.415770,0.088588,0.421675,0.089415,167.218,12.454
68,1.643890,0.871341,0.321908,0.908276,0.653890,0.745042,0.449749,0.425594,0.101320,0.455868,0.096036,0.459910,0.098615,163.508,12.454
69,1.640507,0.866477,0.331378,0.906178,0.656178,0.768116,0.379880,0.373415,0.095659,0.389315,0.092798,0.393578,0.091553,154.406,12.454
70,1.622087,0.868588,0.315371,0.911327,0.681922,0.763349,0.416281,0.398457,0.084502,0.434329,0.113893,0.440254,0.112870,153.291,12.454
71,1.617105,0.866202,0.316356,0.917048,0.680969,0.749237,0.459996,0.471836,0.099910,0.483533,0.099525,0.520325,0.103615,152.946,12.454
72,1.552240,0.873635,0.505766,0.862700,0.562166,0.677155,0.428796,0.421364,0.138933,0.438495,0.165710,0.438980,0.170731,153.892,12.454
73,1.535678,0.883454,0.408170,0.878146,0.726735,0.628146,0.509011,0.524226,0.104248,0.538036,0.096096,0.562046,0.102345,154.218,12.454
74,1.497860,0.885657,0.303025,0.919146,0.672578,0.786232,0.395281,0.380236,0.103954,0.398596,0.102145,0.405123,0.097817,154.341,12.454
75,1.479778,0.887033,0.287961,0.913234,0.731121,0.765065,0.417363,0.386261,0.112245,0.415965,0.105631,0.429157,0.101589,154.048,12.454
76,1.448046,0.886758,0.519290,0.847635,0.671434,0.615179,0.450240,0.448065,0.094595,0.473666,0.080094,0.497595,0.089889,153.506,12.454
77,1.458141,0.882995,0.329418,0.900648,0.688024,0.736079,0.401803,0.354911,0.139640,0.432032,0.112570,0.430464,0.111544,155.060,12.454
78,1.429195,0.890520,0.309053,0.907704,0.719298,0.756102,0.407163,0.395428,0.111427,0.426150,0.103024,0.450374,0.106038,153.660,12.454
79,1.422789,0.888685,0.335017,0.901030,0.635011,0.733219,0.409676,0.425147,0.096138,0.421833,0.095759,0.437189,0.100728,153.097,12.454
80,1.389245,0.892539,0.259778,0.928871,0.742563,0.786613,0.433709,0.421486,0.094371,0.443804,0.106196,0.457065,0.112776,154.301,12.454
81,1.358645,0.894742,0.640193,0.811404,0.608314,0.578566,0.437651,0.445598,0.080703,0.455939,0.083231,0.482461,0.088581,155.584,12.454
82,1.350873,0.898321,0.303312,0.913234,0.730168,0.753623,0.391310,0.392571,0.107754,0.408076,0.104941,0.417614,0.108450,156.707,12.454
83,1.340958,0.898504,0.290428,0.914950,0.722159,0.775553,0.408480,0.371286,0.112150,0.424378,0.142477,0.425173,0.139857,156.575,12.454
84,1.309666,0.900707,0.233357,0.934973,0.741800,0.805301,0.431891,0.422200,0.115011,0.446585,0.114162,0.473812,0.121256,155.647,12.454
85,1.285805,0.903368,0.275960,0.919146,0.723112,0.758009,0.412075,0.376614,0.105751,0.413252,0.097704,0.449250,0.114616,154.136,12.454
86,1.285998,0.901716,0.256425,0.927536,0.756293,0.754767,0.428252,0.405467,0.112529,0.439259,0.099328,0.477858,0.106821,152.780,12.454
87,1.255383,0.909425,0.255269,0.924104,0.762777,0.771167,0.433695,0.427039,0.111015,0.457656,0.109636,0.467211,0.109003,154.347,12.454
88,1.249513,0.904010,0.264078,0.924485,0.717201,0.799008,0.389783,0.341549,0.119471,0.388271,0.111429,0.397220,0.113589,156.035,12.454
89,1.239122,0.903551,0.213556,0.942601,0.786613,0.807971,0.421463,0.398320,0.106576,0.442592,0.110488,0.465402,0.102846,157.836,12.454
90,1.227861,0.909149,0.247064,0.930397,0.748665,0.772883,0.443821,0.413773,0.118748,0.457139,0.112354,0.468631,0.113575,154.939,12.454
91,1.186684,0.913187,0.281260,0.921243,0.745614,0.758009,0.454255,0.463706,0.155629,0.470693,0.166036,0.468566,0.150967,154.930,12.454
92,1.181406,0.911535,0.259111,0.924104,0.757437,0.746568,0.475104,0.491055,0.101631,0.484522,0.101998,0.500125,0.109237,155.042,12.454
93,1.174425,0.913279,0.225715,0.937834,0.783371,0.799771,0.403855,0.396285,0.114476,0.413552,0.112157,0.429918,0.113724,153.613,12.454
94,1.181905,0.911627,0.224160,0.935736,0.788711,0.795385,0.416569,0.420850,0.098702,0.419642,0.098010,0.448184,0.106166,153.423,12.454
95,1.133808,0.920162,0.231819,0.933638,0.650839,0.805683,0.381433,0.396621,0.096463,0.392766,0.102269,0.412336,0.102534,154.662,12.454
96,1.105291,0.923649,0.226096,0.934592,0.806064,0.813310,0.368647,0.341042,0.111722,0.368185,0.109248,0.403712,0.119165,154.385,12.454
