epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s
164,0.087276,0.982472,0.247182,0.928108,7.850
165,0.085133,0.983849,0.252407,0.926392,7.638
166,0.080651,0.983941,0.249786,0.926011,7.976
167,0.084604,0.983298,0.245693,0.929252,8.712
168,0.085605,0.983390,0.247052,0.927536,7.831
169,0.083098,0.983665,0.245473,0.929443,7.720
170,0.082038,0.983390,0.246609,0.926773,7.543
171,0.085268,0.981830,0.241204,0.929443,7.927
172,0.081498,0.984308,0.242762,0.930015,7.692
173,0.082445,0.983757,0.245347,0.928871,7.684
174,0.082179,0.984950,0.241602,0.931159,7.601
175,0.080774,0.983482,0.244394,0.929634,8.431
176,0.079593,0.984858,0.242407,0.928871,7.636
177,0.081354,0.985592,0.242580,0.929252,7.865
178,0.076141,0.984766,0.242935,0.928490,7.512
179,0.077667,0.984675,0.238090,0.929825,7.783
180,0.078534,0.985225,0.242635,0.929062,7.616
181,0.075755,0.987611,0.240011,0.928871,7.799
182,0.077890,0.986143,0.241382,0.929443,7.600
183,0.078451,0.983757,0.239617,0.932304,7.691
184,0.079162,0.984950,0.241241,0.930397,8.523
185,0.079771,0.985225,0.241499,0.929062,7.860
186,0.076304,0.986418,0.243345,0.929634,7.742
187,0.076529,0.985959,0.243641,0.928680,7.968
188,0.078316,0.985592,0.239693,0.930015,7.581
189,0.075488,0.986602,0.238481,0.930015,7.574
190,0.078523,0.984216,0.241702,0.930015,7.591
191,0.078192,0.983757,0.239777,0.928871,8.163
192,0.079454,0.983941,0.240946,0.931159,8.552
193,0.073324,0.985868,0.240418,0.930587,8.661
194,0.080971,0.983023,0.239968,0.930206,8.291
195,0.079590,0.985317,0.239086,0.930587,8.042
196,0.075738,0.987611,0.239615,0.930015,7.684
197,0.076455,0.985868,0.238549,0.930397,7.706
198,0.073929,0.985592,0.238019,0.932494,8.024
199,0.079593,0.984124,0.238568,0.929634,7.583
200,0.075096,0.987152,0.238887,0.931922,7.460
