epoch,train_loss,train_acc,val_loss,val_acc,alpha,epoch_time_s,peak_gpu_gib
169,0.071371,0.982197,0.167185,0.950229,5.280835,142.782,11.249
170,0.066170,0.985042,0.161581,0.949275,5.281859,142.808,11.249
171,0.069216,0.983023,0.161350,0.950420,5.282619,142.909,11.249
172,0.070819,0.982839,0.165923,0.949275,5.283908,142.824,11.249
173,0.066921,0.984583,0.166224,0.950801,5.284545,142.897,11.249
174,0.068889,0.983390,0.162652,0.951373,5.284964,142.767,11.249
175,0.065529,0.985501,0.163019,0.950801,5.285265,142.827,11.249
176,0.069524,0.982564,0.161553,0.952899,5.285129,142.800,11.249
177,0.067069,0.985776,0.164027,0.951373,5.285771,142.696,11.249
178,0.069260,0.982380,0.162378,0.950801,5.286732,142.720,11.249
179,0.065891,0.986418,0.164690,0.949085,5.286992,142.815,11.249
180,0.065144,0.983206,0.158578,0.951945,5.287223,142.760,11.249
181,0.062968,0.985868,0.163612,0.950801,5.286811,142.958,11.249
182,0.064093,0.984950,0.164901,0.949466,5.286965,143.157,11.249
183,0.065300,0.984675,0.161320,0.950992,5.287251,143.033,11.249
184,0.063008,0.985684,0.161713,0.949657,5.287471,142.860,11.249
185,0.066181,0.982839,0.161548,0.950038,5.287592,143.002,11.249
186,0.064781,0.985776,0.161432,0.951564,5.287723,142.871,11.249
187,0.064743,0.983757,0.162786,0.950992,5.288134,143.020,11.249
188,0.061600,0.986143,0.162651,0.950038,5.288428,142.747,11.249
189,0.063643,0.984766,0.160963,0.950992,5.288510,142.887,11.249
190,0.063566,0.985868,0.160940,0.951373,5.288604,142.788,11.249
191,0.064136,0.986877,0.160580,0.951754,5.288634,142.928,11.249
192,0.061869,0.986510,0.158920,0.950801,5.288695,142.863,11.249
193,0.063868,0.984124,0.161260,0.950992,5.288663,142.800,11.249
194,0.059821,0.987061,0.159690,0.950420,5.288718,142.851,11.249
195,0.063418,0.985501,0.160792,0.950992,5.288743,142.849,11.249
196,0.060989,0.986694,0.161168,0.950229,5.288783,142.878,11.249
197,0.065615,0.984032,0.160967,0.951182,5.288831,142.809,11.249
198,0.060405,0.985501,0.160942,0.951182,5.288859,142.784,11.249
199,0.059615,0.986418,0.159172,0.951564,5.288889,142.843,11.249
200,0.063814,0.984308,0.160986,0.950610,5.288926,142.853,11.249
