epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib
48,0.793733,0.760209,0.973644,0.705378,61.211,12.393
49,0.779209,0.762595,0.984844,0.716629,61.441,12.393
50,0.778214,0.761678,1.249535,0.643402,61.312,12.393
51,0.740921,0.774525,2.674269,0.473684,61.177,12.393
52,0.717116,0.782142,0.881301,0.736079,61.434,12.393
53,0.715669,0.783885,1.020035,0.703089,61.401,12.393
54,0.689572,0.793246,0.991499,0.707666,61.427,12.393
55,0.682354,0.793888,0.920130,0.723494,61.292,12.393
56,0.659440,0.797467,0.879282,0.737414,61.392,12.393
57,0.655561,0.800587,0.931727,0.731884,61.320,12.393
58,0.644997,0.802698,0.908279,0.724447,61.228,12.393
59,0.619102,0.809581,0.807655,0.756865,61.193,12.393
60,0.609392,0.812150,0.995443,0.713196,61.415,12.393
61,0.604638,0.816739,1.139759,0.688406,61.270,12.393
62,0.590867,0.818941,0.879731,0.741419,61.231,12.393
63,0.570104,0.826466,0.766788,0.769260,61.345,12.393
64,0.550863,0.833165,0.801571,0.765446,61.334,12.393
65,0.540058,0.836193,1.433916,0.633295,61.240,12.393
66,0.550317,0.829678,0.983369,0.715294,61.266,12.393
67,0.520649,0.841241,0.777822,0.776316,61.251,12.393
68,0.517939,0.839772,0.904143,0.739130,61.229,12.393
69,0.512264,0.842342,1.085920,0.684783,61.344,12.393
70,0.515704,0.838763,0.803240,0.763921,61.287,12.393
71,0.488555,0.846288,0.844608,0.747330,61.167,12.393
72,0.469405,0.854547,0.775780,0.765256,61.261,12.393
73,0.457135,0.860787,0.817322,0.760870,61.440,12.393
74,0.461332,0.856291,0.792116,0.764683,61.334,12.393
75,0.441547,0.867762,0.758470,0.774981,61.235,12.393
76,0.441089,0.866018,0.673701,0.798818,61.306,12.393
77,0.435255,0.867486,0.676974,0.797101,61.242,12.393
78,0.422096,0.873084,0.645053,0.806636,61.293,12.393
79,0.417136,0.869230,0.660613,0.809687,61.243,12.393
80,0.406721,0.872993,0.739592,0.781655,61.272,12.393
81,0.403193,0.873635,0.704630,0.790046,61.146,12.393
82,0.386768,0.881527,0.828940,0.758009,61.344,12.393
83,0.368715,0.890704,0.718508,0.782227,61.287,12.393
84,0.360742,0.888685,0.669316,0.808543,61.347,12.393
85,0.370714,0.884005,0.653362,0.810831,61.328,12.393
86,0.361825,0.887492,0.695021,0.801487,61.369,12.393
87,0.344790,0.896210,0.705653,0.785850,61.165,12.393
88,0.351222,0.889878,0.646491,0.807590,61.180,12.393
89,0.326287,0.900615,0.663413,0.799580,61.216,12.393
90,0.331403,0.893457,0.642331,0.807780,61.231,12.393
91,0.320762,0.902909,0.646358,0.807018,61.134,12.393
92,0.306964,0.906396,0.697724,0.796339,61.277,12.393
93,0.315309,0.904928,0.624262,0.813692,61.216,12.393
94,0.303437,0.909058,0.601668,0.818268,61.362,12.393
95,0.292329,0.912912,0.733825,0.785850,61.247,12.393
96,0.291299,0.911719,0.642601,0.813310,61.151,12.393
97,0.297184,0.911811,0.674887,0.807018,61.200,12.393
98,0.279899,0.915848,0.641818,0.813501,61.242,12.393
99,0.281066,0.916307,0.623882,0.819222,61.294,12.393
100,0.266630,0.923373,0.586223,0.832189,61.428,12.393
101,0.265500,0.920804,0.617107,0.818459,61.249,12.393
102,0.248187,0.927687,0.620511,0.811022,61.219,12.393
103,0.256062,0.922731,0.647888,0.818459,61.266,12.393
104,0.252522,0.925117,0.645853,0.814264,61.266,12.393
105,0.256535,0.922731,0.761155,0.791190,61.249,12.393
