epoch,train_loss,train_acc,val_loss,val_acc,alpha,epoch_time_s,peak_gpu_gib
144,0.063355,0.984583,0.150280,0.953852,1.307201,142.861,11.249
145,0.066272,0.983482,0.150548,0.955187,1.308398,142.693,11.249
146,0.057830,0.986510,0.156871,0.952899,1.307294,142.853,11.249
147,0.056909,0.986602,0.149888,0.954233,1.306328,142.842,11.249
148,0.060589,0.985225,0.149047,0.954615,1.304631,142.762,11.249
149,0.061461,0.983849,0.161406,0.950038,1.306700,142.723,11.249
150,0.056229,0.986969,0.149638,0.952899,1.308556,142.931,11.249
151,0.055293,0.986143,0.142894,0.953661,1.306969,142.793,11.249
152,0.055591,0.986969,0.149040,0.950992,1.307275,142.884,11.249
153,0.056868,0.985959,0.165695,0.950420,1.307055,142.851,11.249
154,0.054325,0.988437,0.147639,0.955378,1.306715,142.649,11.249
155,0.051051,0.988437,0.145322,0.954043,1.307473,142.841,11.249
156,0.051796,0.988621,0.149984,0.953280,1.307373,142.784,11.249
157,0.052607,0.988162,0.150153,0.952517,1.308303,142.735,11.249
158,0.052654,0.987061,0.144309,0.955378,1.308674,142.817,11.249
159,0.054702,0.987152,0.144366,0.955378,1.310229,142.795,11.249
160,0.048559,0.988804,0.152447,0.955378,1.310507,142.759,11.249
161,0.048025,0.988896,0.147721,0.957094,1.310170,142.644,11.249
162,0.050889,0.989080,0.142942,0.955950,1.311049,142.680,11.249
163,0.051911,0.989263,0.149942,0.955187,1.312394,142.800,11.249
164,0.048128,0.989722,0.150066,0.955187,1.312106,142.567,11.249
165,0.048662,0.988529,0.147272,0.956140,1.311970,142.672,11.249
166,0.047194,0.989814,0.146588,0.953852,1.312462,142.806,11.249
167,0.048487,0.988988,0.140669,0.956331,1.311993,142.757,11.249
168,0.047458,0.989538,0.147440,0.952899,1.312731,142.603,11.249
169,0.046817,0.989997,0.144992,0.956331,1.313593,142.649,11.249
170,0.043322,0.991557,0.141562,0.955378,1.312959,142.699,11.249
171,0.043945,0.991466,0.142886,0.958047,1.313011,142.795,11.249
172,0.042648,0.990640,0.139232,0.955187,1.313570,142.708,11.249
173,0.046543,0.988437,0.141448,0.955187,1.314941,142.792,11.249
174,0.044935,0.989997,0.141661,0.955568,1.314364,142.672,11.249
175,0.045235,0.989722,0.141348,0.955378,1.314555,142.730,11.249
176,0.043228,0.991007,0.139262,0.957857,1.314254,142.804,11.249
177,0.041750,0.990915,0.141850,0.956712,1.314578,142.650,11.249
178,0.039986,0.992659,0.142867,0.957094,1.314534,142.762,11.249
179,0.044736,0.990089,0.141150,0.955950,1.315055,142.564,11.249
180,0.043896,0.990181,0.138318,0.955950,1.315478,142.685,11.249
181,0.042382,0.990364,0.138917,0.955759,1.315382,142.601,11.249
182,0.042127,0.991007,0.139649,0.955568,1.315492,142.679,11.249
183,0.044190,0.989171,0.138522,0.956712,1.315392,142.592,11.249
184,0.041966,0.989630,0.141002,0.954805,1.315164,142.814,11.249
185,0.041168,0.990731,0.141288,0.957094,1.315339,142.738,11.249
186,0.040248,0.992016,0.139898,0.954805,1.315607,142.550,11.249
187,0.041517,0.990273,0.141213,0.956522,1.315672,142.807,11.249
188,0.041811,0.990915,0.140699,0.955950,1.315572,142.683,11.249
189,0.040301,0.992108,0.138784,0.956522,1.315583,142.758,11.249
190,0.040084,0.992567,0.138605,0.957475,1.315575,142.730,11.249
191,0.040308,0.990915,0.138095,0.957285,1.315741,142.710,11.249
192,0.037552,0.993117,0.139237,0.956903,1.315740,142.808,11.249
193,0.040954,0.991557,0.138916,0.957094,1.315756,142.796,11.249
194,0.040990,0.990915,0.137598,0.956331,1.315828,142.772,11.249
195,0.040137,0.991833,0.138887,0.956522,1.315869,142.884,11.249
196,0.040391,0.991374,0.138712,0.955759,1.315848,142.818,11.249
197,0.040844,0.991098,0.138964,0.956712,1.315858,142.599,11.249
198,0.040205,0.992291,0.138657,0.957475,1.315863,142.802,11.249
199,0.039230,0.992016,0.137917,0.957666,1.315884,142.664,11.249
200,0.040096,0.992200,0.137985,0.956712,1.315897,142.690,11.249
