epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib
175,0.130792,0.963384,0.150556,0.952899,170.760,11.249
176,0.127861,0.965128,0.149786,0.953280,252.586,11.249
177,0.125403,0.966780,0.151199,0.953471,231.345,11.249
178,0.122962,0.968982,0.148720,0.952136,206.512,11.249
179,0.122573,0.969349,0.149480,0.951754,206.416,11.249
180,0.122879,0.968707,0.149304,0.953661,206.234,11.249
181,0.125720,0.966872,0.151243,0.951373,206.848,11.249
182,0.128006,0.965403,0.148958,0.952517,195.718,11.249
183,0.124409,0.966321,0.149404,0.952517,163.883,11.249
184,0.122425,0.966505,0.149698,0.953471,173.726,11.249
185,0.121645,0.969625,0.149308,0.954615,253.085,11.249
186,0.118252,0.968523,0.148002,0.951945,229.784,11.249
187,0.123180,0.968248,0.147980,0.953661,206.268,11.249
188,0.124656,0.967881,0.150453,0.952899,206.173,11.249
189,0.123652,0.967698,0.147916,0.954043,206.715,11.249
190,0.120468,0.969441,0.148825,0.953280,206.628,11.249
191,0.121466,0.968156,0.148353,0.952708,172.972,11.249
192,0.119766,0.969258,0.147382,0.952517,142.186,11.249
193,0.120029,0.969349,0.148305,0.953089,171.262,11.249
194,0.120805,0.968432,0.148036,0.952517,278.855,11.249
195,0.119281,0.968340,0.147904,0.952517,278.342,11.249
196,0.120225,0.970542,0.148120,0.953280,227.119,11.249
197,0.120996,0.966780,0.147508,0.953089,142.099,11.249
198,0.118086,0.970634,0.148955,0.953089,142.327,11.249
199,0.123004,0.967239,0.146649,0.953280,210.009,11.249
200,0.121689,0.968432,0.148309,0.952326,142.058,11.249
