epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib
143,0.258457,0.927778,0.239247,0.930969,14.913,0.288
144,0.258259,0.931541,0.251399,0.926583,15.251,0.288
145,0.263766,0.924842,0.234848,0.930778,15.524,0.288
146,0.252622,0.929797,0.230877,0.932113,14.516,0.288
147,0.253301,0.928788,0.273052,0.917811,14.274,0.288
148,0.244131,0.933376,0.219753,0.936117,15.069,0.288
149,0.242924,0.932091,0.223597,0.933257,14.939,0.288
150,0.245370,0.933009,0.231150,0.930778,14.338,0.288
151,0.243278,0.937139,0.229517,0.932304,14.850,0.288
152,0.241360,0.934386,0.225537,0.932304,14.430,0.288
153,0.238489,0.934110,0.229975,0.931922,14.563,0.288
154,0.239084,0.934294,0.230803,0.932304,14.783,0.288
155,0.237014,0.934844,0.218766,0.934401,14.767,0.288
156,0.239060,0.932183,0.218087,0.937834,14.658,0.288
157,0.233104,0.932550,0.227249,0.931350,15.368,0.288
158,0.231591,0.937873,0.230873,0.930397,14.710,0.288
159,0.228979,0.935670,0.223602,0.933638,15.082,0.288
160,0.233676,0.935670,0.213272,0.936880,14.728,0.288
161,0.228118,0.939525,0.243895,0.928680,15.322,0.288
162,0.228225,0.938056,0.216480,0.937071,14.982,0.288
163,0.224641,0.937414,0.216401,0.938024,14.966,0.288
164,0.230045,0.935120,0.211240,0.938024,14.750,0.288
165,0.226588,0.939708,0.214177,0.938215,15.317,0.288
166,0.226155,0.938882,0.224432,0.932304,14.554,0.288
167,0.226640,0.938056,0.212020,0.938596,14.864,0.288
168,0.216868,0.942369,0.218157,0.935164,15.263,0.288
169,0.219751,0.939066,0.217978,0.937262,14.697,0.288
170,0.220477,0.937781,0.212387,0.939550,14.511,0.288
171,0.226761,0.937230,0.214585,0.936499,14.204,0.288
172,0.220353,0.939158,0.209875,0.938024,15.128,0.288
173,0.214906,0.938699,0.211380,0.939169,15.003,0.288
174,0.221694,0.938515,0.206204,0.940122,14.872,0.288
175,0.218230,0.941635,0.208901,0.939931,14.679,0.288
176,0.217294,0.939892,0.209663,0.939359,14.747,0.288
177,0.208725,0.944939,0.205382,0.940122,14.767,0.288
178,0.223181,0.940809,0.207163,0.941266,14.884,0.288
179,0.215773,0.940167,0.211157,0.939741,15.094,0.288
180,0.212229,0.941452,0.205329,0.941266,14.329,0.288
181,0.213949,0.939892,0.205085,0.942220,14.828,0.288
182,0.212008,0.941911,0.207317,0.939169,14.596,0.288
183,0.213141,0.941911,0.207186,0.940122,14.845,0.288
184,0.209309,0.941819,0.207965,0.939359,14.774,0.288
185,0.209346,0.944113,0.206965,0.940313,14.424,0.288
186,0.211012,0.941176,0.206381,0.940313,14.377,0.288
187,0.206505,0.944388,0.207316,0.941648,14.552,0.288
188,0.206888,0.945398,0.206002,0.939359,14.859,0.288
189,0.210319,0.941911,0.206122,0.939931,14.409,0.288
190,0.218433,0.939066,0.205172,0.940694,15.061,0.288
191,0.207331,0.945306,0.205142,0.939359,15.373,0.288
192,0.208412,0.943838,0.204758,0.940694,14.618,0.288
193,0.213076,0.941544,0.207089,0.940122,14.933,0.288
194,0.205217,0.944480,0.205539,0.939550,14.751,0.288
195,0.204790,0.945214,0.204456,0.941648,14.713,0.288
196,0.207922,0.943287,0.204701,0.941648,15.107,0.288
197,0.214422,0.941268,0.204205,0.941076,15.317,0.288
198,0.208840,0.943746,0.204373,0.940694,14.266,0.288
199,0.212573,0.943012,0.206912,0.940313,14.952,0.288
200,0.209542,0.944572,0.205597,0.940885,14.874,0.288
