variant,flavour,channel,AV_acc_baseline,AV_acc_lesioned,delta_pp
D3_10_add,mid_add,16,0.957666,0.952708,+0.4958
D3_10_add,mid_add,17,0.957666,0.954043,+0.3623
D3_10_add,mid_add,18,0.957666,0.885202,+7.2464
D3_10_add,mid_add,19,0.957666,0.947178,+1.0488
D3_10_add,mid_add,20,0.957666,0.932113,+2.5553
D3_10_add,mid_add,21,0.957666,0.949466,+0.8200
D3_10_add,mid_add,22,0.957666,0.848589,+10.9077
D3_10_add,mid_add,23,0.957666,0.949466,+0.8200
D3_10_add,mid_add,24,0.957666,0.922578,+3.5088
D3_10_add,mid_add,25,0.957666,0.915904,+4.1762
D3_10_add,mid_add,26,0.957666,0.904081,+5.3585
D3_10_add,mid_add,27,0.957666,0.756865,+20.0801
D3_10_add,mid_add,28,0.957666,0.940503,+1.7162
D3_10_add,mid_add,29,0.957666,0.950801,+0.6865
D3_10_add,mid_add,30,0.957666,0.955759,+0.1907
D3_10_add,mid_add,31,0.957666,0.937643,+2.0023
D3_10_add,mid_add,32,0.957666,0.863463,+9.4203
D3_10_add,mid_add,33,0.957666,0.952899,+0.4767
D3_10_add,mid_add,34,0.957666,0.955759,+0.1907
D3_10_add,mid_add,35,0.957666,0.949275,+0.8391
D3_10_add,mid_add,36,0.957666,0.869565,+8.8101
D3_10_add,mid_add,37,0.957666,0.731884,+22.5782
D3_10_add,mid_add,38,0.957666,0.951564,+0.6102
D3_10_add,mid_add,39,0.957666,0.947750,+0.9916
D3_10_add,mid_add,40,0.957666,0.934592,+2.3074
D3_10_add,mid_add,41,0.957666,0.954996,+0.2670
D3_10_add,mid_add,42,0.957666,0.946034,+1.1632
D3_10_add,mid_add,43,0.957666,0.926011,+3.1655
D3_10_add,mid_add,44,0.957666,0.947178,+1.0488
D3_10_add,mid_add,45,0.957666,0.938406,+1.9260
D3_10_add,mid_add,46,0.957666,0.953852,+0.3814
D3_10_add,mid_add,47,0.957666,0.953471,+0.4195
D3_10_add,mid_add,48,0.957666,0.950420,+0.7246
D3_10_add,mid_add,49,0.957666,0.942601,+1.5065
D3_10_add,mid_add,50,0.957666,0.957857,-0.0191
D3_10_add,mid_add,51,0.957666,0.927727,+2.9939
D3_10_add,mid_add,52,0.957666,0.955568,+0.2098
D3_10_add,mid_add,53,0.957666,0.946415,+1.1251
D3_10_add,mid_add,54,0.957666,0.948894,+0.8772
D3_10_add,mid_add,55,0.957666,0.955568,+0.2098
D3_10_add,mid_add,56,0.957666,0.956140,+0.1526
D3_10_add,mid_add,57,0.957666,0.955759,+0.1907
D3_10_add,mid_add,58,0.957666,0.947178,+1.0488
D3_10_add,mid_add,59,0.957666,0.943364,+1.4302
D3_10_add,mid_add,60,0.957666,0.939741,+1.7925
D3_10_add,mid_add,61,0.957666,0.956140,+0.1526
D3_10_add,mid_add,62,0.957666,0.946034,+1.1632
D3_10_add,mid_add,63,0.957666,0.945843,+1.1823
D3_1_early,early,N/A,N/A,N/A,N/A
