epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib,alpha
153,0.082046,0.977333,0.151064,0.956712,242.709,12.493,5.234010
154,0.081173,0.978159,0.163255,0.950229,242.960,12.493,5.235216
155,0.079345,0.978710,0.151524,0.953852,242.863,12.493,5.237734
156,0.079859,0.979719,0.151600,0.955187,242.903,12.493,5.238671
157,0.073074,0.981279,0.165782,0.950801,242.911,12.493,5.239984
158,0.075268,0.982013,0.155881,0.954805,242.914,12.493,5.241513
159,0.073591,0.982656,0.159648,0.951945,242.840,12.493,5.242437
160,0.072587,0.981279,0.143352,0.957666,326.631,12.493,5.244433
161,0.072769,0.982564,0.153665,0.952517,256.961,12.493,5.245250
162,0.077420,0.979903,0.152277,0.954996,243.138,12.493,5.246803
163,0.075323,0.980362,0.143159,0.956331,243.003,12.493,5.247351
164,0.070415,0.981922,0.147325,0.957285,242.937,12.493,5.248823
165,0.071342,0.983941,0.148142,0.956712,242.981,12.493,5.249229
166,0.074181,0.980637,0.183402,0.946987,243.060,12.493,5.250256
167,0.068749,0.984032,0.147058,0.956903,243.276,12.493,5.251456
168,0.070189,0.982839,0.143211,0.957094,242.918,12.493,5.252574
169,0.071482,0.983115,0.144441,0.955950,242.787,12.493,5.252935
170,0.067643,0.984858,0.143811,0.957857,242.862,12.493,5.253594
171,0.070611,0.982197,0.146871,0.955187,243.007,12.493,5.254335
172,0.065603,0.985868,0.146113,0.956331,243.001,12.493,5.254313
173,0.067499,0.984399,0.142141,0.959001,242.855,12.493,5.254888
174,0.064140,0.984675,0.144204,0.958238,242.941,12.493,5.255153
175,0.069627,0.982105,0.144328,0.956522,242.917,12.493,5.255786
176,0.066067,0.984766,0.146261,0.956522,242.863,12.493,5.255982
177,0.062171,0.985225,0.141317,0.959382,312.946,12.493,5.256516
178,0.064247,0.983941,0.143399,0.956331,255.425,12.493,5.257221
179,0.066752,0.983757,0.144828,0.957285,243.134,12.493,5.257418
180,0.062917,0.985317,0.142545,0.956903,242.935,12.493,5.258024
181,0.062350,0.985684,0.142564,0.958238,242.962,12.493,5.258098
182,0.064643,0.984399,0.143926,0.957285,242.883,12.493,5.258133
183,0.062544,0.985501,0.141112,0.958429,243.067,12.493,5.258321
184,0.067157,0.984032,0.139744,0.958810,118.551,12.493,5.258403
185,0.066344,0.983757,0.140037,0.958619,112.222,12.493,5.258694
186,0.066707,0.984491,0.138444,0.959573,112.271,12.493,5.258919
187,0.062459,0.984583,0.139720,0.959573,112.335,12.493,5.259303
188,0.062049,0.985225,0.139422,0.958429,112.177,12.493,5.259396
189,0.062164,0.985868,0.138371,0.959382,112.150,12.493,5.259554
190,0.065280,0.984399,0.140583,0.959382,112.276,12.493,5.259677
191,0.066148,0.984675,0.140425,0.959764,112.279,12.493,5.259758
192,0.060567,0.985134,0.139620,0.959382,112.138,12.493,5.259806
193,0.061278,0.985501,0.140843,0.959573,112.291,12.493,5.259783
194,0.064786,0.985776,0.140629,0.959001,112.068,12.493,5.259775
195,0.060555,0.986877,0.138513,0.959954,112.122,12.493,5.259732
196,0.062889,0.984399,0.140493,0.959191,112.112,12.493,5.259789
197,0.060885,0.985409,0.139643,0.959191,112.308,12.493,5.259902
198,0.059870,0.987244,0.139849,0.960717,112.220,12.493,5.259936
199,0.061655,0.985317,0.139419,0.960145,112.215,12.493,5.259951
200,0.064233,0.983849,0.138797,0.960336,112.108,12.493,5.259972
